open,high,low,close,volume,candel_date_time
12936000.0,12962000.0,12910000.0,12941000.0,77.92706489,2020-10-11 22:00:00
12945000.0,12993000.0,12906000.0,12945000.0,88.76286901,2020-10-11 23:00:00
12945000.0,12994000.0,12931000.0,12953000.0,61.05163567,2020-10-12 00:00:00
12968000.0,12977000.0,12921000.0,12950000.0,54.49462801,2020-10-12 01:00:00
12950000.0,12980000.0,12944000.0,12974000.0,20.42246099,2020-10-12 02:00:00
12974000.0,12985000.0,12931000.0,12953000.0,32.59181405,2020-10-12 03:00:00
12953000.0,12969000.0,12888000.0,12907000.0,23.24358727,2020-10-12 04:00:00
12907000.0,12926000.0,12895000.0,12897000.0,12.16519888,2020-10-12 05:00:00
12897000.0,12903000.0,12857000.0,12889000.0,45.7050555,2020-10-12 06:00:00
12889000.0,12922000.0,12864000.0,12906000.0,35.89395268,2020-10-12 07:00:00
12917000.0,12950000.0,12904000.0,12934000.0,57.98404028,2020-10-12 08:00:00
12934000.0,12991000.0,12915000.0,12989000.0,92.37686368,2020-10-12 09:00:00
12989000.0,13003000.0,12961000.0,12997000.0,130.36385571,2020-10-12 10:00:00
13002000.0,13012000.0,12969000.0,13012000.0,102.23180572,2020-10-12 11:00:00
13012000.0,13021000.0,12999000.0,13013000.0,98.9539622,2020-10-12 12:00:00
13001000.0,13026000.0,12992000.0,13012000.0,98.79556807,2020-10-12 13:00:00
13012000.0,13025000.0,13006000.0,13015000.0,115.33527162,2020-10-12 14:00:00
13016000.0,13024000.0,12948000.0,12953000.0,137.93060896,2020-10-12 15:00:00
12953000.0,12989000.0,12940000.0,12967000.0,102.47867359,2020-10-12 16:00:00
12967000.0,12988000.0,12947000.0,12974000.0,108.45242223,2020-10-12 17:00:00
12974000.0,13000000.0,12947000.0,12980000.0,107.36452525,2020-10-12 18:00:00
12980000.0,12991000.0,12855000.0,12922000.0,144.34944896,2020-10-12 19:00:00
12922000.0,12929000.0,12874000.0,12899000.0,133.4700294,2020-10-12 20:00:00
12899000.0,12945000.0,12895000.0,12932000.0,83.78584926,2020-10-12 21:00:00
12932000.0,13157000.0,12932000.0,13146000.0,362.28153436,2020-10-12 22:00:00
13137000.0,13161000.0,13108000.0,13134000.0,203.83294312,2020-10-12 23:00:00
13133000.0,13259000.0,13128000.0,13198000.0,247.1358597,2020-10-13 00:00:00
13197000.0,13230000.0,13185000.0,13192000.0,88.20632944,2020-10-13 01:00:00
13192000.0,13211000.0,13164000.0,13171000.0,51.06419823,2020-10-13 02:00:00
13171000.0,13190000.0,13165000.0,13186000.0,18.52768072,2020-10-13 03:00:00
13186000.0,13215000.0,13171000.0,13183000.0,19.28298208,2020-10-13 04:00:00
13194000.0,13218000.0,13172000.0,13194000.0,34.27948419,2020-10-13 05:00:00
13194000.0,13330000.0,13180000.0,13288000.0,110.40477581,2020-10-13 06:00:00
13288000.0,13315000.0,13274000.0,13281000.0,69.55774698,2020-10-13 07:00:00
13281000.0,13281000.0,13128000.0,13172000.0,136.08344337,2020-10-13 08:00:00
13176000.0,13217000.0,13121000.0,13153000.0,199.23121307,2020-10-13 09:00:00
13150000.0,13184000.0,13130000.0,13168000.0,118.42944604,2020-10-13 10:00:00
13168000.0,13172000.0,13130000.0,13138000.0,99.9372712,2020-10-13 11:00:00
13151000.0,13153000.0,13102000.0,13123000.0,110.82082799,2020-10-13 12:00:00
13123000.0,13167000.0,13113000.0,13160000.0,76.97899611,2020-10-13 13:00:00
13160000.0,13161000.0,13137000.0,13150000.0,103.10405715,2020-10-13 14:00:00
13150000.0,13171000.0,13130000.0,13149000.0,211.78571146,2020-10-13 15:00:00
13149000.0,13162000.0,13080000.0,13111000.0,268.55558298,2020-10-13 16:00:00
13120000.0,13166000.0,13088000.0,13134000.0,148.80064625,2020-10-13 17:00:00
13134000.0,13146000.0,13097000.0,13123000.0,119.55566153,2020-10-13 18:00:00
13123000.0,13199000.0,13088000.0,13190000.0,158.12059003,2020-10-13 19:00:00
13189000.0,13191000.0,13147000.0,13161000.0,118.80594622,2020-10-13 20:00:00
13163000.0,13191000.0,13122000.0,13142000.0,109.08202005,2020-10-13 21:00:00
13144000.0,13148000.0,13027000.0,13036000.0,212.09867869,2020-10-13 22:00:00
13037000.0,13086000.0,12999000.0,13079000.0,184.43998093,2020-10-13 23:00:00
13086000.0,13123000.0,13057000.0,13086000.0,71.46356841,2020-10-14 00:00:00
13094000.0,13105000.0,13057000.0,13104000.0,41.64419894,2020-10-14 01:00:00
13098000.0,13110000.0,13069000.0,13082000.0,35.54301638,2020-10-14 02:00:00
13082000.0,13128000.0,13067000.0,13117000.0,39.22772549,2020-10-14 03:00:00
13118000.0,13150000.0,13099000.0,13125000.0,18.28563895,2020-10-14 04:00:00
13132000.0,13150000.0,13114000.0,13148000.0,11.0148007,2020-10-14 05:00:00
13136000.0,13162000.0,13125000.0,13157000.0,56.91850852,2020-10-14 06:00:00
13157000.0,13161000.0,13126000.0,13151000.0,45.61977442,2020-10-14 07:00:00
13151000.0,13156000.0,13120000.0,13134000.0,48.8897841,2020-10-14 08:00:00
13134000.0,13203000.0,13116000.0,13192000.0,135.59293503,2020-10-14 09:00:00
13192000.0,13192000.0,13148000.0,13150000.0,105.24810774,2020-10-14 10:00:00
13153000.0,13154000.0,13120000.0,13134000.0,87.25401446,2020-10-14 11:00:00
13134000.0,13140000.0,13079000.0,13080000.0,138.73297435,2020-10-14 12:00:00
13080000.0,13120000.0,13063000.0,13080000.0,130.4940904,2020-10-14 13:00:00
13080000.0,13120000.0,13073000.0,13092000.0,124.35553344,2020-10-14 14:00:00
13100000.0,13159000.0,13087000.0,13152000.0,209.01124854,2020-10-14 15:00:00
13153000.0,13168000.0,13102000.0,13132000.0,246.16943124,2020-10-14 16:00:00
13119000.0,13135000.0,13101000.0,13124000.0,133.96187123,2020-10-14 17:00:00
13124000.0,13130000.0,13106000.0,13112000.0,58.36960857,2020-10-14 18:00:00
13113000.0,13123000.0,13067000.0,13074000.0,153.19736082,2020-10-14 19:00:00
13074000.0,13116000.0,13068000.0,13087000.0,83.104685,2020-10-14 20:00:00
13087000.0,13154000.0,13073000.0,13113000.0,92.60914823,2020-10-14 21:00:00
13110000.0,13278000.0,13106000.0,13237000.0,183.72017072,2020-10-14 22:00:00
13237000.0,13240000.0,13080000.0,13101000.0,151.3148119,2020-10-14 23:00:00
13109000.0,13128000.0,13045000.0,13049000.0,106.34583427,2020-10-15 00:00:00
13056000.0,13099000.0,13041000.0,13093000.0,53.71814796,2020-10-15 01:00:00
13095000.0,13098000.0,13067000.0,13085000.0,43.58434488,2020-10-15 02:00:00
13085000.0,13087000.0,13040000.0,13087000.0,27.19275067,2020-10-15 03:00:00
13086000.0,13109000.0,13075000.0,13103000.0,17.15383724,2020-10-15 04:00:00
13103000.0,13133000.0,13088000.0,13131000.0,25.25569916,2020-10-15 05:00:00
13131000.0,13135000.0,13117000.0,13126000.0,18.04605812,2020-10-15 06:00:00
